2254, CERUMIN , CERUMIN, NOT FOUND, GOTAS OTO. 8 ML x 1, ALC
57475, CILODEX , CILODEX, NOT FOUND, GOTAS OFTAL 5 ML x 1, ALC
59560, CILODEX , CILODEX, NOT FOUND, POM. OFTAL 3.50 G x 1, ALC
49308, CILOXAN , CILOXAN, NOT FOUND, SOLN OFTAL 0.30 % 5 ML x 1, ALC
50584, CILOXAN , CILOXAN, NOT FOUND, POM. OFTAL 0.30 % 3.50 G x 1, ALC
56401, CILOXAN , CILOXAN, NOT FOUND, SOLN OTO. 3 MG 5 ML x 1 (/ML), ALC
55518, CIPRO HC , CIPRO HC, NOT FOUND, SUSP 10 ML x 1, ALC
32764, CLARIL , CLARIL, NOT FOUND, SOLN OFTAL 15 ML x 1, ALC
58993, CLAROFT , CLAROFT, NOT FOUND, SOLN OFTAL 0.12 MG 15 ML x 1 (/ML), ALC
59185, CLENS 100 , CLENS 100, NOT FOUND, SOLN OFTAL 15 ML x 1, ALC
58208, CLOR BETAXOLOL MG , CLOR BETAXOLOL, CLORIDRATO BETAXOLOL, SOLN OFTAL 0.50 % 5 ML x 1, ALC
58216, CROMO.DISSODICO MG , CROMO DISSODICO, NOT FOUND, SOLN OFTAL 4 % 5 ML x 1, ALC
