75976, DACOGEN , DACOGEN, NOT FOUND, F.AMP 50 MG x 1, J_C
2940, DAKTARIN , DAKTARIN, NOT FOUND, LOC. 20 MG 30 ML x 1 (/ML), J_C
2939, DAKTARIN , DAKTARIN, NOT FOUND, PO 20 MG 30 G x 1 (/G), J_C
46506, DAKTARIN GEL , DAKTARIN GEL, NOT FOUND, GEL. ORAL 2 % 40 G x 1, J_C
52085, DUROGESIC , DUROGESIC, NOT FOUND, PARCHE 10 MG x 5, J_C
52082, DUROGESIC , DUROGESIC, NOT FOUND, PARCHE 2.50 MG x 5, J_C
52083, DUROGESIC , DUROGESIC, NOT FOUND, PARCHE 5 MG x 5, J_C
74551, DUROGESIC D-TRANS , DUROGESIC D TRANS, NOT FOUND, ADES TRANSD 100 Y x 5, J_C
74547, DUROGESIC D-TRANS , DUROGESIC D TRANS, NOT FOUND, ADES TRANSD 12 Y x 5, J_C
74548, DUROGESIC D-TRANS , DUROGESIC D TRANS, NOT FOUND, ADES TRANSD 25 Y x 5, J_C
74549, DUROGESIC D-TRANS , DUROGESIC D TRANS, NOT FOUND, ADES TRANSD 50 Y x 5, J_C
